Date Range:,8/18/2017 00:00:00 - 10/16/2017 23:59:59

Date,Time,BV104:AIR VOLUME,BIE03P,BIE01:FREQ OUTPUT,BV104:CLG FLOW MIN,BVB17:AIR VOLUME,BIE21P,BH111A:EXH FLOW,BIOAT27,BI1RRT,BVB39:CTL STPT,BIE03C,BI2SAT,BVB02B:CLG FLOW MAX,BV104:CLG FLOW MAX,BIE20C,BV204:CTL FLOW MIN,BI2CCT,BI1CFM,BI3RRT,BIE25P,BIE03:FREQ OUTPUT,BI.LAB.HW.TEMP,BVB02B:CLG FLOW MIN,BI3DSC,BIE19C,BI1VFD:FREQ OUTPUT,BI2HT1,BIE01P,BI3SAC,BI1CCT,BV204:CTL FLOW MAX,BI3SAT,BVB02B:CTL TEMP,BV204:AIR VOLUME,BIE20P,BI2RRT,BI1HRT,BI2HT2,BV204:CLG FLOW MAX,BV108A:CLG FLOW MIN,BV108A:CLG FLOW MAX,BVB39:CTL TEMP,BI2CFM,BI2DSP,BIE01C,BIA2VFD:FREQ OUTPUT,BI1DSP,BI2HRT,BIHRRT,BIE23P,BV108A:CTL TEMP,BIE20:FREQ OUTPUT,BH111A:FLOW HI STPT,BI1RRC,BV104:CTL FLOW MIN,BI2RRC,BV108A:AIR VOLUME,BH111A:FLOW LO STPT,BI3HT2,BI2HRC,BI3RRC,BH111A:FLOW STPT,BI3HT1,BI1SAT,BVB39:AIR VOLUME,BIHRST,BI1DSC,BIE21C,BVB02B:CTL STPT,BI1HMC,BV104:CTL TEMP,BV108A:CTL STPT,BV104:CTL STPT,BV204:CLG FLOW MIN,BI2PHT,BIE19P,BV104:CTL FLOW MAX,BI2SAC,BI3DSP,BI1SAC,BI3HRT,BI2DSC,BV204:CTL STPT,BV204:CTL TEMP,BIE25C,BI1OCC,BIE19:FREQ OUTPUT,BVB17:CTL STPT
8/18/2017,05:00:00,150.91,50.34,8070.83,1.50,1.49,35.00,60.89,ON,32.00,82.95,55.00,55.05,52.7,82.23,81.73,60.14,2200,220,70.00,71.25,512,75.50,264,79.50,73.25,52.82,16549.45,1.50,1.51,55.00,60.42,62.71,60.50,61.46,32.00,84.57,55.00,55.02,43.1,1.18,1617.705811,1727.646973,596.823486,1727.646973,1.20,1.21,62.18,62.87,61.30,32.00,83.06,55.00,54.95,57.4,1.20,1.20,33.7,1.20,1.20,41.0,1.25,1.24,33.0,1.20,1.20,1.20,1.20,2.00,1.53,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.50
8/18/2017,05:15:00,149.37,50.39,7873.98,1.50,1.50,35.00,60.78,ON,32.00,82.95,55.00,55.05,52.7,82.20,81.66,60.06,2200,220,70.00,71.50,512,75.50,264,79.50,73.25,52.39,16503.32,1.50,1.51,55.00,60.06,62.57,60.36,61.32,32.00,84.54,55.00,54.66,43.1,1.19,1633.411621,1727.646973,596.823486,1727.646973,1.20,1.18,62.11,62.73,61.20,32.00,83.03,55.00,54.66,57.4,1.20,1.19,33.7,1.20,1.19,41.1,1.25,1.24,33.0,1.20,1.21,1.20,1.20,2.00,1.53,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.50
8/18/2017,05:30:00,150.85,50.40,8115.79,1.50,1.51,35.00,60.81,ON,32.00,82.88,55.00,55.09,52.7,82.16,81.66,60.01,2200,220,70.00,71.50,512,75.50,264,79.50,73.25,52.89,16369.96,1.50,1.51,55.00,60.42,62.50,60.40,61.39,32.00,84.47,55.00,55.27,43.1,1.19,1601.999878,1727.646973,596.823486,1727.646973,1.20,1.21,62.15,62.76,61.23,32.00,82.99,55.00,55.20,57.4,1.20,1.20,33.7,1.20,1.20,41.1,1.25,1.24,33.0,1.20,1.20,1.20,1.21,2.00,1.54,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.50
8/18/2017,05:45:00,149.74,50.08,8050.14,1.50,1.50,35.00,60.71,ON,32.00,82.88,55.00,54.80,52.7,82.20,81.69,60.03,2200,220,70.00,72.75,512,75.50,264,79.50,73.25,52.32,16276.55,1.50,1.49,55.00,60.27,62.68,60.47,61.14,32.00,84.43,55.00,54.91,43.1,1.20,1601.999878,1727.646973,596.823486,1727.646973,1.20,1.20,62.04,62.69,61.16,32.00,82.95,55.00,54.95,57.4,1.20,1.21,33.7,1.20,1.20,41.1,1.25,1.27,33.0,1.20,1.20,1.20,1.20,2.00,1.54,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.50
8/18/2017,06:00:00,150.01,50.09,8140.04,1.50,1.49,35.00,60.81,ON,32.00,82.81,55.00,54.80,52.7,82.16,81.66,60.15,2200,220,70.00,71.50,512,75.50,264,79.50,73.25,52.82,16537.93,1.50,1.49,55.00,60.31,62.42,60.68,61.46,32.00,84.47,55.00,55.13,43.1,1.20,1586.294067,1727.646973,596.823486,1727.646973,1.20,1.20,62.11,62.76,61.23,32.00,82.95,55.00,54.77,57.4,1.20,1.21,33.7,1.20,1.19,41.3,1.25,1.24,33.0,1.20,1.18,1.20,1.22,2.00,1.51,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.50
8/18/2017,06:15:00,150.93,50.74,7582.63,1.50,1.53,35.00,60.89,ON,32.00,82.74,55.00,55.34,50.9,82.13,81.62,59.99,2200,220,70.00,71.50,0,75.50,268,79.50,72.50,52.75,16583.97,1.50,1.50,55.00,60.35,62.78,60.47,61.21,32.00,84.39,55.00,55.13,43.1,1.22,1601.999878,1727.646973,596.823486,1727.646973,1.20,1.20,62.22,62.84,61.27,32.00,82.95,55.00,55.23,56.9,1.20,1.19,33.8,1.20,1.20,41.4,1.25,1.27,33.0,1.20,1.20,1.20,1.15,2.00,1.54,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.50
8/18/2017,06:30:00,149.24,50.21,7991.53,1.50,1.50,35.00,60.92,ON,32.00,82.77,55.00,54.95,52.7,82.16,81.62,60.01,2200,220,70.00,72.25,516,75.50,264,79.50,73.00,52.82,16352.49,1.50,1.50,55.00,60.35,62.57,60.76,61.53,32.00,84.36,55.00,55.09,43.1,1.21,1601.999878,1727.646973,596.823486,1727.646973,1.20,1.21,62.33,62.94,61.38,32.00,82.88,55.00,54.77,57.3,1.20,1.20,33.8,1.20,1.20,41.2,1.25,1.25,33.0,1.20,1.23,1.20,1.21,2.00,1.55,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.50
8/18/2017,06:45:00,150.60,50.02,8048.25,1.50,1.49,35.00,61.03,ON,32.00,82.70,55.00,54.73,52.7,82.13,81.62,60.27,2200,220,70.00,71.75,508,75.50,268,79.50,73.25,52.28,16105.86,1.50,1.51,55.00,60.53,62.68,60.90,61.61,32.00,84.29,55.00,54.66,43.1,1.20,1601.999878,1727.646973,596.823486,1727.646973,1.20,1.20,62.40,63.05,61.48,32.00,82.85,55.00,54.98,57.3,1.20,1.20,33.8,1.20,1.21,41.1,1.25,1.24,33.0,1.20,1.16,1.20,1.20,2.00,1.53,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.50
8/18/2017,07:00:00,149.64,50.35,7915.28,1.50,1.51,35.00,61.53,ON,32.00,82.67,55.00,55.02,52.7,82.09,81.59,60.99,2200,220,65.00,72.25,516,75.50,264,79.50,73.25,53.11,16270.70,1.50,1.53,55.00,61.03,63.14,61.33,62.11,32.00,84.29,55.00,55.27,43.1,1.19,1633.411621,1727.646973,596.823486,1727.646973,1.20,1.19,62.87,63.48,61.84,32.00,82.85,55.00,55.16,57.3,1.20,1.21,33.4,1.20,1.20,38.6,1.25,1.31,33.0,1.20,1.23,1.20,1.17,2.00,1.54,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.50
8/18/2017,07:15:00,150.38,50.79,8019.00,1.50,1.51,35.00,61.89,ON,32.00,82.59,55.00,55.45,53.6,82.09,81.59,61.64,2200,220,70.00,71.75,512,75.50,268,79.50,73.25,52.86,18558.17,1.50,1.39,55.00,61.46,63.65,61.66,62.54,32.00,84.29,55.00,55.13,44.7,1.19,1570.588135,1727.646973,596.823486,1727.646973,1.20,1.19,63.23,63.84,62.24,32.00,82.77,55.00,54.95,57.9,1.20,1.20,33.9,1.20,1.21,41.4,1.25,1.24,33.8,1.20,1.20,1.20,1.18,2.00,1.57,88,288,88,288,88,74.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.50
